Table: Table_1

;1. ;2. ;3. ;4. ;5. ;6. ;7. Il ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;
;;;;;Däraf ;antal ;brukningsdelar, ;;som ;brukas af ;;Antal ;Hela ;;D ä ;r a f ;;;0 d 1 ;a d e ;
;Omrâde. ;Nu- varande ;Antal bruk- nings- ;;Ägarne brukningsdelar jord ;själfva: med om ;odlad ;Brukare ;(af brukningsdelar jord ;andras med om ;jord): odlad ;jord- torp och andra ;ägo- vidden (utan ;Träd-, humle- och ;Áker och aunan ;Natur- lig ;Skog- bäran- de ;Höst- süd. ;Varsäd. ;Balj- ;
;(Socknar och härad ;mantal. ;delar. ;högst ;öfver 2 ;öfver 20 ;öfver ;högst ;öfver 2 ;öfver 20 ;öfver ;jord- ;vatten). ;kâl- ;odlad ;äng. ;mark. ;;Strasäd. ;väx- ;
;samt städer.) ;;;2 ;t. o. m. ;t. o. m. ;100 ;hek- ;t. o. m. ;t. m. ;100 ;lägen- ;;gärd. ;jord. ;;;;;ter. ;
;;;;hektar ;20 har. ;100 har. ;har. ;tar. ;20 har. ;100 har. ;har. ;heter. ;;H e ;k t ;a r. ;;;;;
1 ;Hör ;28-729 ;209 ;30 ;148 ;20 ;- ;1 ;7 ;3 ;- ;168 ;6,143 ;86 ;1,870 ;189 ;1,219 ;246 ;656 ;13 ;
2 ;Hörby ;32:470 ;296 ;22 ;223 ;31 ;3 ;1 ;12 ;4 ;- ;30 ;6,164 ;86 ;3,752 ;153 ;700 ;489 ;1.178 ;40 ;
3 ;Lyby ;21-795 ;176 ;12 ;128 ;18 ;2 ;;14 ;2 ;- ;5 ;2,525 ;33 ;2,216 ;27 ;94 ;323 ;695 ;6 ;
4 ;Munkarp ;11:208 ;45 ;8 ;18 ;12 ;1 ;1 ;3 ;2 ;- ;65 ;2,669 ;11 ;903 ;106 ;910 ;110, ;364 ;11 ;
