Table: Table_1

;1. ;2. ;3. 4. ;5. ;6. ;7. Il ;8. 9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;I 20. ;21. I ;22. ;23. I 24. ;25. ;26. ;27. ;28. 29. ;30. ;31. ;32. ;33. ;34. ;35 ;36. ;37. ;38. ;39. ;40. ;41. 1 ;
;;;;Däraf ;antal ;brukningsdelar, ;som ;brukas af ;;Antal ;Hela ;;D ä ;r a f ;;;o d 1 ;a d a ;g o V ;d d e ;n 8 a n V ;ä n d ;n i n ;g. ;;;U t ;s ã ;d ;e ;o c ;h $ ;k ö ;r d ;;;;
;;Nu- ;Antal bruk- ;Ägarne brukningsdelar ;själfva: med ;odlad ;Brukare (af brukningsdelar ;andras med ;jord): odlad ;jord- torp och ;ägo- vidden ;Träd- humle- ;Aker och ;Natur- ;Skog- ;;Varsäd. ;;Rotfrukter. ;;Gräs och Spa- foderväxter ;andra ;Andra ;;H ö 8 t ;$ ã ;d. ;;;V ;& ;S ä d: ;S t ;r à 8 ;ä d. ;;do ;
;Omrâde. ;varande mantal. ;nings- ;jord ;om ;;jord ;om ;;andra jord- ;(utan ;och kâl- ;aunan odlad ;lig äng. ;bäran- de ;Höst- säd. ;Strasäd ;Balj- vüx- ;Potatis ;Andra rot- ;nads- väx- till bete ;till hö- ;växt- slag. ;Träde. ;(Höst-)Hvete. ;(Höst-)Râg. ;;(Vâr-)Hvete. ;;(Var-)Râg. ;;Korn. ;;Hafre. ;;Blandsäd. ;;
;(Socknar och härad samt städer.) ;;delar. högst 2 t ;öfver m. ;20 o. m. ;öfver 100 ;högst öfver 2hek-|t m. ;2ofver 20 m. ;öfver 100 ;lügen- ;vatten) ;gärd. ;jord. ;;mark. ;;;ter. ;;frukt. ;ter. grönf. ;skörd. ;;;Utsäde Skörd. ;Utsüde ;Skörd. ;Utsäde. ;Skörd. ;Utsäde. ;Skörd. ;Utsäde. ;Skörd. ;Utsüde. ;Skörd. ;Utsüde ;Skörd. ;
;;;hektar. ;20 har. ;100 har. ;har. ;tar. 20 har ;100 har. ;har. ;heter. ;;H ;k t ;a r. ;;;;;H ;e k ;t a r. ;;;;;;;H e ;k ;t ;o I ;i ;t e ;r. ;;;;
;Hör ;28-729 ;209 30 ;148 ;20 ;;1 7 ;3 ;- ;168 ;6,143 ;86 ;1,870 ;189 ;1,219 ;246 ;656 ;13 ;151 ;93 ;- 79 ;471 ;5 ;156 ;17 168 ;720 ;2,820 ;- ;;9 ;84 ;93 ;425 ;1,724 ;5,766 ;602 ;3,150 ;
;Hörby Lyby ;32:470 21-795 ;296 22 176 12 ;223 128 ;31 18 ;3 2 ;1 12 14 ;4 2 ;- - ;30 5 ;6,164 2,525 ;86 33 ;3,752 2,216 ;153 27 ;700 94 ;489 323: ;1.178 695 ;40 6 ;165 108 ;283 170 ;- 688 - 303 ;761 500 ;1 7 ;147 104 ;3 28 27 308 ;1,464 933 ;9,760 6,220 ;- - ;- - ;9 3 ;84 28 ;396 189 ;2,772 1,323 ;2,052 1,120 ;15,903 8,680 ;1,764 1,165 ;15,900 3,850 ;
;Munkarp ;11:208 ;45 8 ;18 ;12 ;1 ;1 3 ;2 ;- ;65 ;2,669 ;11 ;903 ;106 ;910 ;110, ;364 ;11 ;54 ;56 ;- 11 ;264 ;1 ;32 ;5 60 ;324 ;1,400 ;- ;;;;18 ;150 ;964 ;6,107 ;316 ;1,740 ;
;;;;;7 ;;1 12 ;;;;;;;;;;;;123 ;51 ;21 ;262 ;2 ;50 ;;390 ;2,600 ;8 ;81 ;51 ;476 ;51 ;357 ;1,372 ;7,203 ;223 ;1,675 ;
