Table: Table_1

Rotfrukter. ;;Spa- ;Gräs och foderväxter ;andra ;Andra ;;H ;ö s t ;$ ã ;d. ;;;V ;à r ;s ã d: ;S t ;r à 8 ;ä d. ;;;
Potatis. ;Andra rot- ;nads- väx- ;till bete ;till hö- ;växt- slag. ;Träde. ;;(Höst-)Hvete. ;(Höst-)Râg. ;;(Vâr-)Hvete. ;;(Var-)Râg. ;;;Korn. ;Hafre. ;;Blandsäd. ;;
;frukt. ;ter. ;o. grönf. ;skörd. ;;;Utsäde. ;Skörd. ;Utsüde. ;Skörd. ;Utsäde. ;Skörd. ;Utsäde. ;Skörd. ;Utsäde. ;Skörd. ;Utsäde. ;Skörd. ;Utsüde. ;Skörd. ;
H ;e k ;t ;a r. ;;;;;;;;H e ;k ;t ;o I ;i ;t e ;r. ;;;;
151 ;93 ;- ;79 ;471 ;5 ;156 ;17 ;168 ;720 ;2,820 ;- ;- ;9 ;84 ;93 ;425 ;1,724 ;5,766 ;602 ;3,150 ;
165 ;283 ;- ;688 ;761 ;1 ;147 ;3 ;28 ;1,464 ;9,760 ;- ;- ;9 ;84 ;396 ;2,772 ;2,052 ;15,903 ;1,764 ;15.900 ;
108 ;170 ;- ;303 ;500 ;7 ;104 ;27 ;308 ;933 ;6,220 ;- ;- ;3 ;28 ;189 ;1,323 ;1,120 ;8,680 ;1,165 ;3,850 ;
54 ;56 ;- ;11 ;264 ;1 ;32 ;5 ;60 ;324 ;1,400 ;- ;-- ;- ;- ;18 ;150 ;964 ;6,107 ;316 ;1,740 ;
123 ;51 ;- ;21 ;262 ;2 ;50 ;- ;- ;390 ;2,600 ;8 ;81 ;51 ;476 ;51 ;357 ;1,372 ;7,203 ;223 ;1,675 ;
38 ;167 ;- ;229 ;339 ;1 ;143 ;262 ;3,675 ;420 ;4,230 ;- ;- ;- ;- ;534 ;5,340 ;584 ;5,840 ;636 ;5,921 ;
6 ;75 ;- ;43 ;104 ;- ;45 ;207 ;2,822 ;72 ;720 ;- ;-- ;- ;- ;270 ;2,340 ;148 ;1,480 ;303 ;2,852 ;
94 ;48 ;- ;49 ;263 ;- ;40 ;- ;- ;327 ;1,728 ;5 ;54 ;48 ;448 ;30 ;200 ;1,296 ;7,452 ;139 ;1,302 ;
121 ;49 ;- ;23 ;288 ;- ;86 ;- ;- ;429 ;2,860 ;- ;- ;48 ;320 ;48 ;336 ;1,820 ;9,555 ;80 ;600 ;
143 ;162 ;- ;213 ;656 ;2 ;178 ;10 ;112 ;813 ;5,420 ;3 ;27 ;60 ;560 ;144 ;1,008 ;2,084 ;16,151 ;1,215 ;10,950 ;
49 ;105 ;- ;150 ;322 ;1 ;88 ;152 ;2,535 ;399 ;3,990 ;5 ;54 ;- ;- ;345 ;3,450 ;252 ;1,953 ;892 ;9,380 ;
