Table: Table_1

;;42. ;43. ;44. ;45. ;Il 46. ;47. ;I 48. I ;49. ;50. ;51. ;52 ;53. ;54. ;55. ;56. ;57. ;
;;;;;;;;U ;t S ;ã d ;e o ;h ;S ;* ;ö r ;d. ;;
;;;VArsid: ;;;Baljväxter. ;;;;Botfrukter ;;Lin ;och ;hampa. ;Gräs o. ;andra ;fodervärter. ;
;Omrâde. ;;Ärter. ;Bönor. ;;;Vicker. ;;Potatis, ;Foder- rotfrukter. ;Socker- betor ;Frö. ;;Spanads- ämne. ;Frö timotej- ;(klöfver-, d.). ;Hö (frân odlad jord). ;
;(Socknar och härad samt städer.) ;Utsüde ;Skörd. ;Utsüde. Skörd. ;;Utsüde. ;Skörd ;Utsäde, ;Skörd. ;Skörd. ;Skörd. ;Utsade ;Skörd ;Skörd. ;Utende. ;Skörd. ;Skörd. ;
;;;;H ;e ;k t ;o 1 ;i t ;e r ;;Deciton. ;Hektoliter. ;;;D e ;o ;n ;
;Hör ;12 ;96 ;- ;;17 ;114 ;3,322 ;12.584 ;31,405 ;;- ;- ;- ;70 ;- ;11,205 ;
;Hörby ;35 ;432 ;- ;- ;55 ;418 ;3,630 ;40,095 ;121,250 ;9,240 ;- ;- ;- ;113 ;- ;22,800 ;
;Lyby ;5 ;48 ;;- ;10 ;76 ;2,376 ;26,244 ;72,750 ;5,880 ;- ;- ;- ;75 ;- ;15,000 ;
;Munkarp ;20 ;240 ;- ;- ;;38 ;1.188 ;4,004 ;17,701 ;;- ;;;39 ;- ;7,965 ;
;Norra Rörum ;7 ;72 ;- ;- ;15 ;114 ;2,706 ;21,033 ;26,400 ;280 ;- ;- ;- ;39 ;4 ;5,550 ;
;Skarhult ;- ;;- ;- ;;;836 ;10,868 ;34,272 ;33,320 ;;- ;- ;50 ;- ;4,160 ;
;Skeglinge ;- ;;- ;- ;3 ;19 ;132 ;822 ;7,196 ;18,300 ;- ;- ;- ;16 ;;6,240 ;
;Svensköp ;8 ;24 ;;;3 ;19 ;2.068 ;18,800 ;26,837 ;- ;- ;;- ;39 ;;10,520 ;
;Södra Rörum ;;;- ;;3 ;19 ;2.662 ;20,691 ;25,872 ;;;- ;- ;43 ;name ;7,200 ;
10| ;Ostra Sallerup ;3 ;24 ;- ;- ;12 ;95 ;3,146 ;34,749 ;77,115 ;840 ;- ;- ;- ;98 ;2 ;19,680 ;
11| ;Ostra Strö ;22 ;216 ;- ;- ;12 ;95 ;1,078 ;14,014 ;44,982 ;11,760 ;;- ;- ;48 ;- ;12,880 ;
12 ;Ostra Aspinge ;10 ;96 ;- ;- ;12 ;93 ;1,870 ;17,850 ;27,820 ;200 ;- ;-- ;- ;37 ;- ;11,952 ;
;Frosta härad ;201 ;2,152 ;51 ;21 ;250 ;1,862 ;42,416 ;441,919 ;1,092,918 ;259,460 ;- ;- ;- ;1,288 ;10 ;325,022 ;
18 ;Björka ;- ;- ;- ;- ;40 ;304 ;836 ;4,066 ;4,708 ;- ;- ;- ;- ;11 ;- ;1,036 ;
14 ;Brandstad ;22 ;180 ;- ;- ;15 ;114 ;1,056 ;9,936 ;59,682 ;20,720 ;- ;;- ;63 ;- ;17,892 ;
15 ;Frenninge ;5 ;48 ;- ;;377 ;2,869 ;8,910 ;66,015 ;98,500 ;6,160 ;;- ;- ;139 ;- ;46,400 ;
16 ;llatorp ;- ;;- ;- ;;;1,430 ;6,955 ;8,170 ;;- ;- ;- ;34 ;- ;3,178 ;
17 ;Lângaröd ;5 ;48 ;;- ;;57 ;3.916 ;45,746 ;23,205 ;320 ;;;- ;74 ;- ;19,840 ;
18) ;Löfvestad ;12 ;120 ;- ;- ;17 ;133 ;7.282 ;47,333 ;112.098 ;9,520 ;- ;- ;- ;132 ;- ;33,630 ;
19) ;Ramsisa ;7 ;72 ;;;;57 ;1,540 ;11,970 ;22,850 ;840 ;- ;- ;- ;2 ;- ;450 ;
20| ;Rödinge ;10 ;96 ;- ;- ;5 ;38 ;2,750 ;25,000 ;30,000 ;3,640 ;- ;- ;- ;54 ;- ;10,890 ;
21) ;Södra Asum ;25 ;472 ;- ;- ;7 ;57 ;3,696 ;31,416 ;62,118 ;4,760 ;- ;;- ;60 ;- ;10,400 ;
22 ;Söfde ;12 ;120 ;- ;;;;3,740 ;35,020 ;107,348 ;4,200 ;;;- ;144 ;- ;48,250 ;
23 ;Tolanga ;35 ;336 ;- ;- ;35 ;266 ;3,938 ;30,609 ;53.200 ;780 ;- ;- ;- ;116 ;- ;43,065 ;
24 ;Vanstad ;2 ;24 ;- ;- ;12 ;95 ;2.442 ;19,758 ;70,964 ;560 ;- ;- ;- ;87 ;- ;23,320 ;
25 ;Vollsjö ;- ;;- ;;72 ;551 ;3,234 ;18,816 ;36.808 ;3,040 ;- ;- ;;64 ;- ;16,065 ;
26 ;V&mb ;;;- ;- ;;;2,904 ;13.100 ;15,000 ;;;;- ;18 ;- ;3,472 ;
27 ;Västerstad ;10 ;96 ;;;22 ;171 ;3.322 ;36.240 ;99,246 ;;;- ;- ;120 ;- ;29,016 ;
28] ;Östraby ;;;- ;- ;50 ;380 ;6,424 ;49,932 ;64,000 ;7,020 ;- ;- ;- ;116 ;- ;46,440 ;
29 ;Östra Kärrstorp ;3 ;24 ;- ;- ;10 ;76 ;2.021 ;13,156 ;36,500 ;4,480 ;- ;- ;- ;73 ;- ;28,140 ;
30 ;Oved ;27 ;264 ;- ;- ;5 ;38 ;1.606 ;13,651 ;62,832 ;45,220 ;X - ;- ;- ;59 ;- ;10,348 ;
;Fürs hârad ;175 ;1,900 ;- ;- ;681 ;5,906 ;61,050 ;478,719 ;967,229 ;111,260 ;- ;- ;- ;1,366 ;- ;385,832 ;
31) ;Baldringe ;12 ;120 ;- ;;7 ;57 ;968 ;6,600 ;27,979 ;12,800 ;;- ;- ;43 ;1 ;14,400 ;
32| ;Bjäresjö ;37 ;360 ;5 ;42 ;5 ;38 ;1,078 ;17,493 ;27,408 ;56,700 ;- ;- ;/ ;48 ;- ;12.760 ;
33 ;Borrie ;3 ;24 ;;- ;;;198 ;1,026 ;10,205 ;600 ;- ;- ;;10 ;- ;3,640 ;
34 ;Bromma ;22 ;216 ;- ;- ;30 ;228 ;572 ;5,200 ;39,984 ;4,760 ;- ;- ;- ;29 ;- ;7,640 ;
35 ;Hedeskoga ;12 ;120 ;- ;- ;4 ;38 ;286 ;4,641 ;13,133 ;20,400 ;- ;- ;- ;29 ;- ;5,160 ;
36 ;Högestad ;10 ;96 ;- ;- ;;;1,144 ;21.840 ;16,559 ;4,760 ;;;- ;32 ;- ;10,550 ;
37| ;Stora Herrestad ;7 ;72 ;;;7 ;57 ;2.574 ;14.976 ;59,990 ;52.160 ;- ;- ;- ;46 ;- ;17,922 ;
38 ;Stora Köpinge ;20 ;112 ;32 ;273 ;;57 ;5,192 ;50,504 ;64,974 ;49,280 ;;- ;- ;86 ;- ;20.195 ;
39 ;Söfvestad ;115 ;980 ;- ;- ;95 ;722 ;1,606 ;14,016 ;93,840 ;10,240 ;- ;- ;- ;89 ;- ;20,685 ;
40 ;Öja ;;- ;- ;- ;;;330 ;3,420 ;13,005 ;21,420 ;- ;- ;- ;20 ;- ;5,280 ;
;Herrestads härad ;238 ;2.100 ;37 ;315 ;155 ;1,197 ;13,948 ;139,716 ;367,077 ;233,120 ;- ;- ;- ;432 ;1 ;118,292 ;
41) ;Balkâkra ;12 ;120 ;- ;- ;3 ;19 ;352 ;2.848 ;17,136 ;36.800 ;- ;- ;- ;18 ;- ;4,800 ;
42 ;Katslösa ;17 ;168 ;- ;;20 ;152 ;330 ;2.670 ;24,276 ;21,760 ;- ;;- ;18 ;- ;4,680 ;
43 ;Sjörup ;27 ;264 ;5 ;42 ;20 ;152 ;638 ;5.162 ;61.404 ;35,560 ;- ;;- ;28 ;- ;7,400 ;
44 ;Skarby ;35 ;336 ;;;10 ;76 ;968 ;9.108 ;26,334 ;16,800 ;- ;- ;- ;50 ;- ;19,860 ;
45 ;Suârestad ;12 ;120 ;;;15 ;114 ;594 ;5.589 ;11,286 ;24,000 ;- ;- ;- ;23 ;- ;9,120 ;
46 ;Villie ;52 ;504 ;12 ;105 ;27 ;209 ;1,276 ;9,280 ;77.040 ;57,120 ;- ;- ;;66 ;- ;17,960 ;
47 ;Västra Nöbbelöf ;7 ;72 ;- ;- ;3 ;19 ;528 ;3,840 ;16,692 ;42,840 ;- ;- ;- ;16 ;- ;4.440 ;
;Ljunits härad ;162 ;1,584 ;17 ;147 ;98 ;741 ;4,686 ;38,497 ;234,168 ;234,880 ;- ;- ;- ;219 ;-- ;68,260 ;
;Summa för landsbygden ;2,816 ;27,513 ;191 ;1,554 ;3,237 ;24,482 ;266.228 ;2,445,145 ;8,677,833 ;7,862,788 ;45 ;- ;X 45 ;10,125 ;299 ;2,967,409 ;
48) ;Malmö ;- ;;- ;- ;5 ;38 ;1,606 ;15.622 ;17,997 ;27,200 ;- ;- ;- ;19 ;- ;3,550 ;
49 ;Lund ;5 ;48 ;- ;- ;3 ;19 ;176 ;1,600 ;10,866 ;42,160 ;- ;;- ;24 ;- ;8,200 ;
50 ;Landskrona ;5 ;48 ;- ;- ;5 ;38 ;220 ;2,420 ;13,000 ;36,720 ;- ;- ;;12 ;- ;4,400 ;
51) ;Hälsingborg ;;;- ;- ;- ;- ;594 ;5,400 ;4,998 ;10.880 ;- ;- ;- ;9 ;- ;2.400 ;
52 ;Yetad ;3 ;24 ;- ;;;;198 ;3.213 ;2.284 ;9,900 ;;- ;- ;5 ;- ;1,360 ;
53 ;Trälleborg ;- ;;- ;- ;17 ;133 ;440 ;1,680 ;3,420 ;45,240 ;- ;;- ;12 ;- ;4.980 ;
54 ;Skanör ;3 ;24 ;- ;;3 ;19 ;374 ;4,250 ;2,571 ;380 ;- ;- ;- ;9 ;- ;1,860 ;
55 ;Falsterbo ;- ;;- ;- ;- ;;176 ;2,000 ;;- ;- ;- ;- ;7 ;- ;1,470 ;
;Summa for städerna ;16 ;144 ;- ;- ;33 ;247 ;3,784 ;36,185 ;55,136 ;172,480 ;- ;- ;- ;97 ;- ;28,220 ;
;Summa för hela länet&r 1910 ;2,839 ;27,657 ;191 ;1.554 ;8,270 ;24.729 ;270.010 ;2.481.330 ;8,732,969 ;7,535,218 ;45 ;- ;45 ;10.222 ;299 ;2,995,629 ;
;1909 ;2,812 ;27,480 ;209 ;1,800 ;3,300 ;25,159 ;270,076 ;1.993.296 ;8,552,159 ;6,925,982 ;46 ;- ;51 ;10,258 ;310 ;3,095,764 ;





Table: Table_2

58. ;59. ;62 ;63. ;64. ;67. ;68. ;72. ;73. ! ;74. / ;75. I ;76. ;77. ;78. ;79. ;80. ;81. ;82 ;83. ;;
;;;;;Vidd jordförbättringar. ;af ;;;Antal ;vid m ;idten ;af juli ;manad ;underhâllna ;;kreatur ;m. m. ;;;
;Andra ;;väztslag. ;;Under- dikning ;Angs- ;Antal ;Hästar. ;;;;;Ungnöt ;;;;;;;
;Bohvete. ;Tobak ;Grön- ;och rotsaker ;(täck dik- ;vatt- ning. ;frukt- träd. ;Öfver ;Under 3 ar ;Oxar. ;Tjurar. ;Kor. ;(under 2 &r) och ;Far och lamm. ;Getter och killin- ;Svin och ;Bi- sam- hällen. ;Höns, kalkoner. gass och ;;
Utsãde. ;Skörd. ;Skörd ;Utsäde. ;Skörd ;ning). ;;;âr. ;och föl. ;;;;kalfvar. ;;gar. ;grisar. ;;ankor. ;;
;Hektoliter. ;Decit. ;;Hektoliter. ;Hektar. ;;;;;;;;;;;;;;;
5 ;100 ;- ;- ;;997 ;2 ;6,141 ;388 ;109 ;- ;24 ;937 ;475 ;406 ;2 ;1,494 ;120 ;6,150 ;;
- ;- ;- ;- ;500 ;2,256 ;32 ;6,019 ;252 ;65 ;- ;16 ;746 ;303 ;631 ;- ;1,594 ;71 ;3,820 ;;
- ;- ;- ;- ;3,500 ;2,020 ;8 ;2,977 ;304 ;48 ;;48 ;1,031 ;451 ;192 ;- ;1,213 ;63 ;3,265 ;;
- ;- ;- ;- ;500 ;594 ;7 ;1,138 ;140 ;79 ;4 ;24 ;440 ;253 ;119 ;- ;758 ;37 ;1,594 ;;
- ;- ;;;1,000 ;416 ;2 ;4,500 ;211 ;144 ;;28 ;586 ;445 ;721 ;- ;2,251 ;290 ;4.737 ;;
- ;- ;- ;- ;500 ;1,674 ;41 ;833 ;183 ;57 ;- ;19 ;512 ;376 ;405 ;;542 ;6 ;1,111 ;6 ;
- ;;- ;- ;;430 ;;499 ;57 ;21 ;- ;4 ;170 ;101 ;32 ;1 ;75 ;18 ;496 ;;
- ;- ;;;;486 ;12 ;1.062 ;196 ;64 ;- ;15 ;524 ;289 ;375 ;;1,098 ;34 ;2,540 ;;
- ;- ;;- ;;1,046 ;2 ;2,782 ;221 ;69 ;- ;14 ;515 ;252 ;232 ;1 ;733 ;25 ;1,280 ;;
- ;- ;15 ;- ;500 ;2,157 ;10 ;3,157 ;432 ;122 ;- ;42 ;1,238 ;583 ;821 ;8 ;1,800 ;65 ;7,123/10 ;;
- ;- ;- ;- ;500 ;1,348 ;8 ;1,944 ;182 ;34 ;- ;23 ;728 ;358 ;123 ;;952 ;45 ;2,389 11 ;;
- ;- ;- ;- ;;771 ;4 ;1,607 ;172 ;53 ;- ;21 ;577 ;210 ;189 ;3 ;1,021 ;70 ;2,674 12 ;;
6 ;120 ;45 ;- ;14,000 ;29,981 ;209 ;59,793 ;5,235 ;1,524 ;6 ;590 ;16,040 ;10,471 ;7,357 ;28 ;26,201 ;1,510 ;64,530 ;;
- ;- ;- ;- ;;174 ;- ;346 ;45 ;29 ;- ;7 ;171 ;111 ;80 ;- ;430 ;- ;1.152 13 ;;
- ;- ;-- ;- ;1,000 ;1,016 ;15 ;3,381 ;267 ;32 ;;27 ;867 ;466 ;308 ;- ;1,027 ;35 ;3,285 14 ;;
- ;- ;;- ;500 ;3,067 ;91 ;2,980 ;496 ;240 ;2 ;75 ;1,665 ;804 ;912 ;- ;2,793 ;32 ;5,155 15 ;;
;;;- ;;658 ;;259 ;104 ;40 ;;12 ;235 ;163 ;93 ;- ;322 ;35 ;466 16 ;;
1 ;20 ;- ;- ;500 ;210 ;14 ;1,587 ;339 ;128 ;2 ;29 ;958 ;531 ;1,001 ;- ;1,038 ;63 ;4,184 17 ;;
- ;- ;- ;- ;1,500 ;2,109 ;47 ;2,888 ;570 ;225 ;- ;56 ;1,514 ;906 ;805 ;- ;2,109 ;93 ;5.359 18 ;;
- ;;;;;495 ;4 ;1,314 ;140 ;57 ;- ;11 ;357 ;257 ;281 ;;545 ;32 ;1,693 119 ;;
1 ;20 ;- ;- ;500 ;900 ;5 ;1,459 ;175 ;60 ;- ;25 ;577 ;280 ;293 ;8 ;759 ;18 ;1,346 20 ;;
1 ;20 ;- ;- ;;1,722 ;89 ;4,165 ;312 ;48 ;- ;16 ;743 ;459 ;375 ;7 ;1,190 ;100 ;3,763 21 ;;
- ;- ;;- ;2,000 ;2,953 ;9 ;1,730 ;438 ;163 ;;42 ;1,237 ;788 ;805 ;1 ;1,325 ;56 ;2,616/22 ;;
- ;- ;;- ;;988 ;49 ;3.341 ;417 ;187 ;5 ;49 ;1,135 ;828 ;846 ;10 ;2.179 ;104 ;5,680,23 ;;
- ;- ;;- ;500 ;1,735 ;12 ;3,929 ;311 ;91 ;;37 ;791 ;631 ;396 ;4 ;1,028 ;82 ;3,906 24 ;;
- ;;;- ;1,000 ;794 ;2 ;2,535 ;263 ;71 ;48 ;24 ;931 ;545 ;240 ;;1,427 ;118 ;3,660 125 ;;
9 ;180 ;- ;- ;;699 ;190 ;546 ;122 ;62 ;2 ;9 ;290 ;307 ;278 ;- ;329 ;13 ;916 26 ;;
- ;;;- ;1,000 ;837 ;2 ;3,521 ;402 ;70 ;;30 ;1,497 ;600 ;521 ;;1,877 ;79 ;5,666 27 ;;
- ;- ;- ;- ;1,500 ;1,519 ;2 ;3,703 ;207 ;137 ;2 ;47 ;1,678 ;908 ;657 ;1 ;2,687 ;51 ;7,109 28 ;;
- ;- ;- ;- ;1,000 ;1,510 ;6 ;2,047 ;237 ;42 ;2 ;26 ;807 ;412 ;233 ;1 ;1,031 ;39 ;2,894 /29 ;;
- ;- ;- ;- ;2,500 ;1,512 ;168 ;1,217 ;196 ;39 ;- ;23 ;681 ;552 ;82 ;- ;540 ;14 ;919 80 ;;
12 ;240 ;- ;- ;13,500 ;22,898 ;705 ;40,948 ;5,041 ;1,721 ;63 ;545 ;16,134 ;9,548 ;8,206 ;32 ;22,636 ;964 ;59,769 ;;
- ;- ;- ;- ;;1,087 ;100 ;1,082 ;141 ;96 ;- ;14 ;404 ;285 ;245 ;- ;629 ;13 ;1,034 (3 ;;
- ;- ;- ;- ;1,500 ;1,511 ;;1,570 ;227 ;38 ;- ;22 ;708 ;502 ;296 ;- ;774 ;23 ;2,251 32 ;;
- ;- ;- ;;;358 ;1 ;301 ;56 ;35 ;- ;5 ;134 ;82 ;53 ;- ;153 ;7 ;451 33 ;;
- ;- ;;- ;;333 ;1 ;190 ;179 ;39 ;- ;4 ;419 ;254 ;188 ;;723 ;29 ;1,843 84 ;;
- ;- ;- ;;1,000 ;474 ;1 ;1,225 ;163 ;24 ;- ;36 ;495 ;181 ;124 ;1 ;237 ;50 ;1,537 35 ;;
- ;;- ;- ;;800 ;2 ;566 ;109 ;46 ;- ;12 ;308 ;231 ;180 ;- ;352 ;18 ;706 36 ;;
1 ;20 ;;- ;;1,346 ;;4,864 ;260 ;101 ;- ;17 ;765 ;386 ;112 ;- ;1,013 ;39 ;2,129 37 ;;
1 ;20 ;;;500 ;1,741 ;3 ;3,488 ;363 ;69 ;;36 ;945 ;670 ;614 ;11 ;1,089 ;137 ;4,142 38 ;;
;;- ;- ;;2,528 ;16 ;2.481 ;387 ;160 ;2 ;32 ;840 ;704 ;673 ;5 ;1.020 ;47 ;3,025 39 ;;
;- ;- ;;1,000 ;463 ;2 ;1,713 ;117 ;7 ;3 ;13 ;272 ;94 ;105 ;- ;244 ;9 ;870 40 ;;
2 ;40 ;- ;- ;4,000 ;10,641 ;126 ;17,480 ;2,002 ;615 ;5 ;191 ;5,290 ;3,389 ;2,590 ;17 ;6,234 ;372 ;17,988 ;;
- ;- ;- ;- ;1,000 ;773 ;63 ;1,064 ;158 ;29 ;- ;16 ;473 ;288 ;76 ;- ;214 ;9 ;1,092 41 ;;
1 ;20 ;- ;- ;;781 ;3 ;2,469 ;171 ;17 ;- ;6 ;396 ;236 ;98 ;- ;295 ;43 ;2.765 42 ;;
- ;- ;- ;- ;;1,284 ;5 ;3,140 ;212 ;24 ;- ;10 ;616 ;452 ;193 ;1 ;576 ;2 ;4,244 43 ;;
- ;- ;;;1,000 ;1,501 ;7 ;2,932 ;226 ;52 ;- ;19 ;671 ;506 ;299 ;- ;607 ;41 ;;;
- ;- ;- ;- ;3,000 ;972 ;7 ;2,808 ;173 ;22 ;- ;13 ;457 ;241 ;118 ;- ;783 ;23 ;2.533 ;;
- ;- ;;- ;;2,284 ;8 ;4,942 ;348 ;51 ;1 ;28 ;885 ;623 ;335 ;22 ;1,321 ;148 ;6,120 ;;
- ;- ;15 ;- ;- ;885 ;4 ;2,747 ;193 ;37 ;1 ;25 ;422 ;309 ;151 ;6 ;316 ;52 ;2,742 47 ;;
1 ;20 ;15 ;- ;5,000 ;8.480 ;97 ;20,102 ;1,481 ;232 ;2 ;117 ;3.920 ;2,655 ;1 270 ;29 ;4.112 ;318 ;22,004 ;;
53 ;1,060 ;660 ;- ;260,000 ;257.203 ;2,114 ;597,768 ;50,456 ;13.954 ;306 ;5,891 ;136,254 ;88,812 ;49,764 ;416 ;154.745 ;8,991 ;580,671 ;;
- ;- ;- ;- ;35,000 ;860 ;- ;8.379 ;2,200 ;23 ;- ;3 ;290 ;39 ;4 ;32 ;394 ;58 ;2.750 ;;
- ;- ;;- ;500 ;382 ;3 ;3,803 ;285 ;17 ;- ;10 ;292 ;118 ;44 ;5 ;239 ;28 ;1,268 ;;
- ;- ;15 ;- ;18,500 ;371 ;- ;4,760 ;814 ;8 ;- ;2 ;222 ;41 ;58 ;;349 ;30 ;971 50 ;;
- ;- ;- ;- ;8,000 ;385 ;- ;3,678 ;834 ;3 ;- ;3 ;113 ;27 ;8 ;7 ;95 ;30 ;1,600 ;;
- ;- ;;- ;3,000 ;162 ;- ;4,832 ;574 ;;;2 ;63 ;5 ;6 ;4 ;432 ;42 ;3.627 ;;
- ;- ;- ;;;316 ;- ;1,515 ;210 ;2 ;- ;6 ;241 ;101 ;69 ;;152 ;19 ;1.267 ;;
- ;- ;- ;;;;- ;2,738 ;63 ;1 ;- ;5 ;106 ;100 ;147 ;4 ;42 ;16 ;3,506 ;;
- ;- ;- ;-- ;;- ;- ;3,526 ;35 ;- ;- ;;53 ;37 ;95 ;1 ;21 ;25 ;1,830 ;;
- ;- ;15 ;- ;65,000 ;2.476 ;3 ;33.231 ;5,045 ;54 ;- ;31 ;1,880 ;468 ;431 ;53 ;1.724 ;243 ;16,819 ;;
