Table: Table_1

Stockholms ,22 ,41 630 ,5 ,100 ,2 000 ,50 ,69 750 ,1 800 ,200 ,150 ,- ,1 900 ,
Uppsala ,12 ,82 515 ,5 ,245 ,3 000 ,100 ,98 580 ,- ,220 ,100 ,- ,33 300 ,
Södermanlands ,37 ,9 386 ,12 ,600 ,3 500 ,50 ,89 600 ,1 450 ,- ,100 ,- ,16 520 ,
Östergötlands ,83 ,72 009 ,17 ,2 886 ,6 000 ,,40 000 ,38 400 ,1 600 ,- ,160 ,3 360 ,
Jönköpings ,294 ,27 511 ,248 ,4 020 ,5 500 ,9 330 ,11 920 ,39 450 ,- ,10 160 ,- ,14 980 ,
Kronoberg8¹ ,82 ,12 363 ,46 ,1 135 ,3 000 ,3 000 ,2 250 ,18 750 ,1 000 ,4 250 ,200 ,5 600 ,
Kalmar¹ ,133 ,18 412 ,100 ,1 892 ,3 000 ,9 550 ,5 250 ,14 550 ,650 ,10 290 ,- ,5 190 ,
Gottlands 1) ,15 ,3 172 ,11 ,207 ,300 ,500 ,- ,500 ,- ,500 ,- ,- ,
Blekinge ,37 ,14 258 ,16 ,525 ,1 500 ,1 200 ,7 550 ,4 350 ,5 600 ,1 210 ,- ,7 540 ,
Kristianstads ,45 ,15 674 ,37 ,1 325 ,2 900 ,3 700 ,32 100 ,15 150 ,16 450 ,4 050 ,1 130 ,31 800 ,
Malmöhus 1) ,16 ,25 748 ,4 ,703 ,3 200 ,- ,45 000 ,33 200 ,40 500 ,- ,- ,30 500 ,
Hallands ,131 ,71 164 ,114 ,2 873 ,4 400 ,9 170 ,10 450 ,43 580 ,2 100 ,10 900 ,300 ,12 250 ,
Göteborgs och Bohus ,12 ,12 449 ,6 ,209 ,800 ,100 ,100 ,14 800 ,- ,100 ,- ,800 ,
Alvsborgs ,137 ,240 736 ,83 ,3 042 ,4 000 ,2 000 ,11 000 ,45 700 ,- ,2 000 ,800 ,900 ,
Skaraborgs ,44 ,24 632 ,36 ,1 594 ,4 700 ,1 500 ,9 500 ,122 000 ,2 000 ,1 500 ,100 ,7 340 ,
Värmlands ,212 ,91 177 ,161 ,7 655 ,11 000 ,6 500 ,11 000 ,90 500 ,4 000 ,7 825 ,500 ,2 300 ,
Örebro ,131 ,45 000 ,54 ,2 000 ,5 000 ,1 600 ,23 000 ,45 400 ,- ,2 100 ,2 250 ,7 000 ,
Västmanlands ,49 ,70 844 ,14 ,1 343 ,4 300 ,300 ,91 100 ,300 ,- ,300 ,- ,21 400 ,
Kopparbergs ,116 ,121 000 ,120 ,7 100 ,8500 ,5 140 ,14 650 ,46 785 ,3 725 ,5 740 ,300 ,- ,
Gavleborgs ,241 ,37 086 ,189 ,6 540 ,7 400 ,7 300 ,22 500 ,33 300 ,1 500 ,7 650 ,475 ,- ,
Västernorrlands ,286 ,116 466 ,195 ,8 363 ,10 300 ,6 100 ,34 600 ,16 475 ,25 ,6 300 ,250 ,- ,
Jämtlands 1) ,87 ,19 600 ,72 ,4 950 ,7 000 ,3 200 ,28 500 ,14 300 ,- ,4 600 ,- ,- ,
Vasterbottens¹ ,118 ,18 500 ,109 ,3 900 ,4 500 ,7 100 ,12 000 ,32 000 ,3 900 ,7 700 ,440 ,- ,
Norrbottens 1) ,37 ,94 605 ,28 ,4 410 ,5 000 ,300 ,14 100 ,17 7.600 ,,600 ,- ,- ,
Summa för ,,,,,,,,,,,,,





