Table: Table_1

15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,99 ,1 ,
- ,63400 ,- ,190 ,4 660 ,- ,- ,- ,- ,- ,- ,- ,1 500 ,- ,71 800 ,1 ,
- ,65 500 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,98 900 ,2 ,
100 ,71 730 ,500 ,400 ,1 200 ,- ,- ,- ,- ,- ,- ,- ,550 ,- ,91 100 ,3 ,
- ,37 200 ,800 ,6 400 ,4 800 ,880 ,- ,- ,19 600 ,- ,- ,- ,6 800 ,- ,80 000 ,4 ,
500 ,5 060 ,2 250 ,2 130 ,2 460 ,- ,- ,- ,19 700 ,- ,- ,- ,420 ,40 ,60 700 ,5 ,
75 ,975 ,50 ,150 ,7 125 ,- ,- ,- ,2 400 ,- ,- ,- ,4 175 ,- ,25 000 ,6 ,
120 ,1 980 ,- ,- ,7 860 ,420 ,- ,- ,4 140 ,- ,- ,- ,- ,- ,30 000 ,7 ,
- ,500 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,1 000 ,8 ,
- ,1 150 ,- ,350 ,7 250 ,- ,- ,- ,1 200 ,- ,- ,- ,- ,- ,18 700 ,9 ,
2 850 ,9 390 ,230 ,350 ,12 930 ,- ,- ,- ,- ,- ,- ,- ,4 670 ,- ,67 400 ,10 ,
- ,27 400 ,3 500 ,5 600 ,- ,- ,- ,13 900 ,1 100 ,- ,- ,- ,36700 ,- ,118 700 ,11 ,
- ,8 200 ,600 ,3 000 ,3 150 ,- ,- ,- ,25 500 ,400 ,- ,- ,1 000 ,- ,65 300 ,12 ,
- ,10 000 ,- ,- ,250 ,- ,- ,- ,3 850 ,- ,- ,- ,- ,- ,15 000 ,13 ,
200 ,28 200 ,- ,1 100 ,2 100 ,400 ,- ,- ,20 100 ,2 900 ,- ,- ,- ,- ,58 700 ,14 ,
1 000 ,38 700 ,- ,3 200 ,3 900 ,- ,- ,- ,79 100 ,- ,- ,- ,160 ,- ,135 000 ,15 ,
4 350 ,24 200 ,1 400 ,1 450 ,10 425 ,3 450 ,- ,- ,46 725 ,8 650 ,- ,- ,250 ,475 ,112 000 ,16 ,
2 950 ,36 100 ,- ,1 100 ,3 050 ,1 550 ,- ,800 ,9 650 ,. - ,- ,- ,3450 ,- ,70 000 ,17 ,
100 ,66 200 ,- ,- ,3 300 ,- ,- ,- ,- ,- ,400 ,- ,- ,- ,91 700 ,18 ,
- ,15 220 ,450 ,1 730 ,10 750 ,3 290 ,1 500 ,- ,29 760 ,- ,- ,- ,1 560 ,- ,70 300 ,19 ,
1 925 ,4 570 ,25 ,13 475 ,15 880 ,1 700 ,1 200 ,- ,14 350 ,- ,- ,350 ,3 000 ,- ,64 600 ,20 ,
450 ,4 850 ,- ,2 100 ,13 100 ,- ,- ,- ,23 150 ,2 600 ,- ,- ,4 400 ,- ,57 200 ,21 ,
- ,1 600 ,- ,700 ,9 600 ,- ,- ,- ,18 000 ,6 000 ,- ,- ,5 500 ,- ,46 000 ,22 ,
160 ,6 700 ,- ,'1 600 ,5 500 ,- ,- ,- ,26 000 ,- ,900 ,- ,5 400 ,600 ,55 000 ,23 ,
- ,600 ,- ,300 ,600 ,- ,- ,- ,15 500 ,- ,- ,- ,14 400 ,- ,32 000 ,24 ,
14780 ,529 425 ,9 805 ,45 325 ,129 890 ,11 690 ,2 700 ,14 700 ,359 825 ,20 550 ,1 300 ,350 ,96 935 ,1 115 ,1 536 100 ,25 ,





