Table: Table_1

Yrkesgrupper ,Ansök- ningar om arbete ,Le- diga plat- ser ,Till- satta plat- ser ,Ansök- ningar om arbete ,Le- diga plat- ser ,Till- satta plat- ser ,Ansök- ningar om arbete ,Le- diga plat- ser ,Till- satta plat- ser ,
I. Jordbruk och skogshushäll- niug m. m.: ,,,,,,,,,,
A Jordbruk m. m. ,380 ,103 ,79 ,11 272 ,10 456 ,7 951 ,3 618 ,3 348 ,2 389 ,
Därav kvinnor ,152 ,72 ,54 ,471 ,1 558 ,438 ,529 ,662 ,394 ,
B Skogshushällung ,11 ,142 ,142 ,952 ,650 ,566 ,128 ,101 ,90 ,
Däruv kvinnor ,- ,- ,- ,,- ,- ,- ,2 ,2 ,
II. Gruvdrift och malmförädling ,20 ,- ,- ,5 ,- ,- ,8 ,- ,- ,
Därav kvinnor ,,- ,- ,,- ,- ,- ,- ,- ,
III. Industri och hantverk n. Ille: ,,,,,,,,,,
A Jord-, sten- och glasindustri ,147 ,115 ,54 ,158 ,93 ,68 ,155 ,22 ,21 ,
Därav kvinnor ,38 ,109 ,48 ,,- ,- ,- ,1 ,1 ,
B Metall- och maskinindustri ,4 39? ,1 850 ,737 ,883 ,146 ,110 ,365 ,64 ,42 ,
Därav kvinnor ,414 ,820 ,186 ,1 ,- ,- ,,- ,- ,
C Trävarmindustri ,357 ,227 ,146 ,206 ,96 ,80 ,65 ,50 ,42 ,
Därav kvinnor ,15 ,41 ,23 ,1 ,- ,- ,- ,,- ,
D Byggnadsverksamhet Därav kvinnor ,6 462 ,2 516 2 ,1 996 1 ,1 532 ,491 ,397 ,56 - ,180 ,156 ,
E Läder-, har-, gummi- o. d. industri ,95 ,61 ,24 ,8 ,4 ,2 ,15 ,3 ,2 ,
Därav kvinnor ,13 ,19 ,8 ,,- ,- ,- ,- ,- ,
F Textilindustri ,98 ,88 ,45 ,28 ,- ,- ,8 ,- ,- ,
Dürnv kvinnor ,73 ,83 ,41 ,21 ,- ,- ,- ,- ,- ,
G Beklädnadsindustri ,1 146 ,1 413 ,727 ,59 ,35 ,11 ,35 ,26 ,14 ,
Därnv kvinnor ,975 ,1 879 ,719 ,21 ,23 ,7 ,2 ,17 ,1] ,
H Närings-ochnjutningsämnes- industri ,3 496 ,3 024 ,2 672 ,161 ,101 ,65 ,148 ,44 ,29 ,
Därav kvinnor ,770 ,680 ,379 ,7 ,11 ,3 ,31 ,5 ,3 ,
I Kemisk-teknisk och belys- ningsindustri ,289 ,348 ,250 ,24 ,7 ,6 ,- ,- ,- ,
Därav kvinnor ,195 ,267 ,192 ,,,- ,- ,- ,- ,
J Trämasse- o. pappersindustri ,205 ,302 ,134 ,2 ,- ,- ,13 ,- ,- ,
Darav kvinnor ,164 ,290 ,129 ,- ,- ,- ,- ,,- ,
K Grafisk industri ,149 ,38 ,14 ,53 ,1 ,1 ,6 ,2 ,2 ,
Därav kvinnor ,88 ,26 ,12 ,,- ,- ,- ,,,
L Industri och hantverk, ej särskilt specif. ,721 ,463 ,387 ,160 ,115 ,63 ,128 ,69 ,51 ,
Dirav kvinnor ,47 ,48 ,85 ,,3% ,,,,,
IV. Handel och samfärdsel: ,,,,,,,,,,
A Kontors-, bank- och törsäk- ringspersonal ,1 409 ,517 ,275 ,45 ,8 ,5 ,5 ,1 ,1 ,
Därav kvinnor ,849 ,804 ,168 ,8 ,- ,- ,1 ,- ,- ,
B Butiks-och magasinspersonal ,2 934 ,2 766 ,1 969 ,181 ,62 ,46 ,72 ,31 ,26 ,
Därnv kvinnor ,809 ,710 ,338 ,34 ,18 ,6 ,21 ,15 ,12 ,
C Hotell-, kafé- och restaurang- rörelse ,2 885 ,5 442 ,2 830 ,292 ,881 ,200 ,108 ,156 ,97 ,
Därav kvinnor ,2 657 ,5 191 ,2 654 ,282 ,347 ,178 ,101 ,146 ,88 ,
D Landtransport ,1 723 ,2 319 ,1 192 ,415 ,170 ,141 ,153 ,103 ,61 ,
Därav kvinnor ,79 ,262 ,58 ,- ,,- ,2 ,10 ,8 ,
E Vattentransport ,649 ,98 ,83 ,304 ,18 ,16 ,11 ,7 ,7 ,
Därav kvinnor ,,- ,- ,,- ,- ,- ,- ,- ,
Handel och samfärdsel, ej särskilt specif. ,65 ,557 ,505 ,- ,- ,- ,- ,- ,- ,
Därav kviunor ,57 ,549 ,501 ,- ,- ,- ,- ,- ,,
V. Husligt arbete ,20705 ,26 196 ,16 390 ,1 702 ,3 184 ,978 ,1 487 ,2 021 ,1 245 ,
Därav kvinnor ,20 697 ,26 184 ,16 885 ,1 699 ,3 181 ,976 ,1 487 ,2 021 ,1 245 ,
VL Allmän och litterär verk- samhet ,893 ,873 ,422 ,20 ,25 ,17 ,16 ,27 ,12 ,
Därav kvinnor ,802 ,801 ,867 ,17 ,17 ,9 ,11 ,28 ,9 ,
VII. Arbete, ej hlinförligt till and nan grupp ,11 115 ,8 312 ,7 973 ,4 024 ,946 ,810 ,2 252 ,939 ,772 ,
Ditrav kvinnor ,232 ,299 ,229 ,- ,- ,- ,- ,8 ,2 ,
Tillsammans ,60 346 ,57 269 ,39 046 ,20 486 ,16 9h9 ,11 528 ,9 360 ,7 194 ,5 059 ,
Därav kvinnor ,29 071 ,87 636 ,22 467 ,2 507 ,5 182 ,1 612 ,2 185 ,2 905 ,1 775 ,





