Table: Table_1

;1. ;2. ;3. ;4. ;5, ;6. ;7. ;8. ;I 9. ;10. ;11. ;: 12. ;18. ;14. ;15. ;16. ;17. ;
;;;;;Deraf ;antal ;brukningsdelar, ;;som brnkas ;af ;;Anfal ;;;D e ;r a f ;;
;Omrade. ;Nu- varande ;Autal bruk- nings- ;;Egarne brukningsdelar jord ;sjeifve: med om ;odlnd ;Brukare ;(af brukningsdelar jord ;andras med om ;jord): odlad ;jord- torp och andra ;Heln egovidden (utan ;Trad- humle- och ;Äker och annan ;Naturlig äng. ;Skog- bärande ;
;(Socknar och härad samt städer.) ;mantal. ;delar. ;högst 2 hektar ;öfver 2 t. o. m. 20 har. ;öfver 20 t. 0. m. 100 har. ;öfver! 100 har. ;högst 2 hektar. ;öfver 2 t. o. m. 20 har. ;öfver 20 t o. m. 100 har ;öfver 100 har. ;jord- ligen- heter. ;vatten). ;käl- gird. II e ;odlad jord. k t. ;A r. ;mark. ;
1 ;Tofteryd ;25.125 ;143 ;8 ;130 ;2 ;: ;;1 ;i 2 ;- ;59 ;1:258 ;25 ;916 ;1,566 ;5,864 ;
2 ;Byarum ;36-500 ;171 ;8 ;136 ;4 ;3 ;;20 ;- ;- ;64 ;22,008 ;39 ;1,946 ;1.860 ;11,017 ;
3 ;Hagshult ;16-625 ;95 ;8 ;86 ;- ;- ;- ;1 ;.... ;;19 ;6.729 ;15 ;479 ;715 ;2,536 ;
4 ;Fryele ;28 834 ;164 ;16 ;131 ;;2 ;3 ;12 ;- ;- ;43 ;12.130 ;24 ;800 ;1,288 ;5,596 ;
5 ;Rydaholm ;73250 ;418 ;66 ;343 ;2 ;- ;;7 ;- ;- ;64 ;20,214 ;67 ;1,932 ;3,524 ;8,884 ;
6 ;Gäliaryd ;22.700 ;151 ;17 ;113 ;- ;1 ;1 ;18 ;1 ;- ;32 ;9,487 ;23 ;800 ;725 ;5,491 ;
7 ;Vaxtorp ;33-875 ;100 ;2 ;74 ;1 ;1 ;- ;22 ;- ;-- ;102 ;8,850 ;23 ;826 ;911 ;4,104 ;
8 ;Vernamo ;60.556 ;186 ;1 ;155 ;14 ;3 ;- ;13 ;- ;- ;141 ;18,736 ;45 ;2,735 ;886 ;8,881 ;
9 ;Tännö ;11:750 ;51 ;- ;42 ;- ;- ;- ;9 ;- ;- ;27 ;2,837 ;;379 ;130 ;1,133 ;
10 ;Kärda ;29 790 ;54 ;4 ;33 ;1 ;4 ;1 ;11 ;- ;- ;151 ;9,906 ;19 ;1,022 ;1,069 ;6,540 ;
11 ;Hünger ;14:750 ;74 ;1 ;58 ;- ;;- ;14 ;1 ;- ;27 ;4.986 ;18 ;474 ;411 ;2,334 ;
12 ;Äker ;29 375 ;177 ;1 ;166 ;is ;- ;- ;3 ;1 ;- ;42 ;15,647 ;12 ;1,055 ;1,285 ;11.888 ;
18 ;Käfsjö ;15:500 ;114 ;- ;113 ;1 - ;- ;- ;1 ;- ;- ;11 ;10,809 ;12 ;516 ;530 ;7,928 ;
;Ostbo härad ;398 630 ;- 1,898 - ;132 ;1,580 ;30 ;14 ;5 ;132 ;5 ;- ;785 ;154.117 : ;322 ;13,880 ;14,850 ;81,141 ;
14 ;Tveta härad ;124000 ;I 1,206 ;16 ;914 ;86 ;17 ;- ;126 ;46 ;1 ;643 ;90,415 ;260 ;16,645 ;12,785 ;31.627 ;
15 ;Vista ;273.750 ;754 ;48 ;530 ;89 ;5 ;6 ;90 ;34 ;2 ;657 ;28,370 ;116 ;8,295 ;1,832 ;2,758 ;
16 ;Mo ? ;158.000 ;871 ;36 ;707 ;5 ;- ;- ;120 ;3 ;- ;438 ;93,110 ;72 ;4,894 ;9,778 ;58,827 ;
17 ;Norra Vedbo ;484-270 ;1,188 ;- ;677 ;34 ;6 ;- ;456 ;13 ;2 ;719 ;91,746 ;350 ;14,756 ;19,650 ;84,500 ;
18 ;Sodra Vedbo ;363.500 ;1,067 ;60 ;774 ;38 ;5 ;20 ;160 ;9 ;1 ;1,290 ;92,474 ;267 ;10,482 ;16.201 ;45,400 ;
19 ;Ostra ;651-818 ;1,977 ;104 ;1,442 ;159 ;5 ;23 ;205 ;37 ;2 ;1,18% ;131,829 ;246 ;18,863 ;16,310 ;78,320 ;
20 ;Vestra ;561-875 ;3,095 ;167 ;2,588 ;43 ;3 ;21 ;262 ;11 ;- ;1,114 ;181,544 ;387 ;23,768 ;35,850 ;61,950 ;
21 ;Östbo * ;398-630 ;1,898 ;132 ;1,580 ;30 ;14 ;;132 ;5 ;- ;785 ;154,117 ;322 ;13,880 ;14,850 ;81,141 ;
22 ;Vestho > ;598-198 ;3,480 ;922 ;2,307 ;48 ;1 ;34 ;159 ;9 ;- ;975 ;194,492 ;277 ;14,779 ;35,676 ;23,270 ;
;Summa för landsbygden ;3,914-036 ;15,536 ;1,485 ;11,519 ;482 ;58 ;109 ;1,710 ;167 ;8 ;7,804 ;1,057,596 ;2,297 ;126,362 ;162,932 ;402,793 ;
